======================================================================
SAS AUDIT LOG - 2026-07-22
======================================================================
One row records one SAS action. Passwords and secret values are never written to this file.

TIME     | ACTOR                | ACTION                       | DETAILS
---------+----------------------+------------------------------+------------------------------------------
08:46:38 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
08:46:38 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:46:43 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:50:47 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:50:53 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:50:54 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:51:30 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:51:32 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:51:33 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:52:03 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:52:05 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:52:06 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:52:18 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:52:22 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:52:36 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:52:43 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:52:59 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:53:00 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:53:39 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:54:12 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
09:27:18 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
