======================================================================
SAS AUDIT LOG - 2026-07-21
======================================================================
One row records one SAS action. Passwords and secret values are never written to this file.

TIME     | ACTOR                | ACTION                       | DETAILS
---------+----------------------+------------------------------+------------------------------------------
07:41:32 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
07:41:33 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
07:41:36 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
07:41:48 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
07:41:50 | ADMIN                | CAMERA DISCONNECTED          | Camera Host: jbleyepoc035 · Result: Manual disconnect
07:41:51 | ADMIN                | CAMERA CONNECTED             | Requested host: jbleyepoc035 · Camera Host: MYPENNBLOAN0457 · API port: 5000 · Oneconnect: Normal connect
07:41:54 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
07:42:06 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
07:42:58 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
07:43:23 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
07:43:26 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
07:43:43 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
07:43:46 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
07:43:48 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
07:43:58 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
07:44:00 | ADMIN                | CAMERA ROTATION CHANGED      | Rotation: 180 · Admin: LOCAL_RTSP · Method: Settings
07:44:09 | ADMIN                | SETTINGS SAVED               | Server path: \\mypenm0vdspc16\internship\Gary LIm\SAS_finaltest · Camera Host: jbleyepoc035 · Inactivity lock: 05:00 · Disabled while locked: Keyboard · Camera rotation: 180°
07:44:13 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
07:44:21 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
07:44:32 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
07:47:11 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
07:48:54 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_LOCAL · Confidence: 80.23% · Camera Host: JBLEYEPOC035 · Event Id: 65d7bf87-a56d-4437-b81b-df47a9e3d3dc
08:10:23 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_LOCAL · Confidence: 74.0% · Camera Host: JBLEYEPOC035 · Event Id: d04ea3db-e59d-49d0-8cc8-d36b81055f1b
08:29:47 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:29:56 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:29:57 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:30:06 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:30:08 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:30:10 | ADMIN                | CAMERA DISCONNECTED          | Camera Host: jbleyepoc035 · Result: Manual disconnect
08:30:10 | ADMIN                | CAMERA CONNECTED             | Requested host: jbleyepoc035 · Camera Host: MYPENNBLOAN0457 · API port: 5000 · Oneconnect: Normal connect
08:30:12 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:31:46 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:31:47 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:32:15 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:32:20 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:32:34 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:32:56 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
08:45:12 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
08:45:13 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:45:17 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:45:19 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:45:31 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:53:13 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:53:17 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:53:18 | ADMIN                | CAMERA ROTATION CHANGED      | Rotation: 0 · Admin: LOCAL_RTSP · Method: Settings
08:53:21 | ADMIN                | SETTINGS SAVED               | Server path: \\mypenm0vdspc16\internship\Gary LIm\SAS_finaltest · Camera Host: jbleyepoc035 · Inactivity lock: 05:00 · Disabled while locked: Keyboard · Camera rotation: 0°
09:22:24 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
14:53:05 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
14:53:05 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:53:32 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
14:53:34 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:53:36 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
14:53:41 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:53:44 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:53:48 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
14:53:51 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:54:01 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
14:54:04 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
