======================================================================
SAS AUDIT LOG - 2026-07-18
======================================================================
One row records one SAS action. Passwords and secret values are never written to this file.

TIME     | ACTOR                | ACTION                       | DETAILS
---------+----------------------+------------------------------+------------------------------------------
07:54:06 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
07:54:20 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
07:54:20 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
07:54:20 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
07:54:20 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
08:52:49 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
08:53:01 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
09:24:52 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
09:25:05 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
09:25:24 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
09:25:25 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
10:02:44 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
10:02:55 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
10:03:18 | ADMIN                | FACE DATA EXPORTED TO LOCAL FOLDER | Local folder: C:/Temp · ZIP file: SAS_face_dataset_20260718_100318.zip
10:03:41 | ADMIN                | FACE DATA IMPORTED FROM LOCAL | Local Zip: C:\Temp\SAS_face_dataset_20260718_100318.zip · ZIP file: SAS_face_dataset_20260718_100318.zip · Imported users: Merged/no new users
12:28:34 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:28:46 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:28:46 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:28:46 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:28:57 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:29:12 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:29:23 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:29:29 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:29:29 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:29:30 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:29:30 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:29:30 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:29:30 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:29:30 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:29:30 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:29:43 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:29:43 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:29:52 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
12:29:56 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:30:10 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:30:13 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:30:13 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
12:30:21 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
20:44:36 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
20:44:49 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
20:45:09 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
20:45:40 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
20:45:44 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
