2026-07-23 08:19:32,960 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:19:38,357 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:19:43,459 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:20:18,590 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:20:53,635 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:21:28,697 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:22:03,752 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:22:38,869 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:23:13,968 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:23:49,069 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:24:24,185 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:24:59,348 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:25:34,376 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:26:09,383 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:29:27,284 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:29:58,020 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:30:29,268 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:31:01,044 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:31:33,714 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:32:07,598 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:32:42,743 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:35:54,834 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:36:25,671 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:36:26,934 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:36:28,681 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:36:31,346 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:36:35,201 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:36:40,299 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:36:45,375 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:36:50,471 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:36:55,557 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 08:55:25,456 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 09:53:43,728 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 09:54:14,574 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 09:54:45,862 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 09:55:17,627 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 09:55:50,254 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 09:56:24,123 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 09:56:59,163 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 09:57:34,199 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 09:58:09,354 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 09:58:44,402 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 09:59:19,433 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 09:59:54,542 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:00:29,644 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:01:04,676 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:01:39,766 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:02:14,880 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:02:59,193 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:03:34,266 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:04:09,388 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:04:44,410 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:05:19,438 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:05:54,488 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:06:29,544 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:07:04,584 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:07:39,701 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:08:14,816 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:08:49,849 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:09:24,937 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:09:59,989 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:10:35,098 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:11:10,219 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:11:45,304 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:12:20,327 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:12:55,487 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:13:30,611 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:14:05,695 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:14:40,779 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:15:15,876 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:15:50,996 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:16:26,053 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:17:01,126 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:17:36,230 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:18:11,285 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:18:46,318 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:19:21,375 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:19:56,420 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:20:31,567 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:21:06,645 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:21:41,695 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:22:16,742 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:22:51,850 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:23:26,934 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:24:01,965 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:24:36,994 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:25:12,066 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:25:47,110 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:26:22,208 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:26:57,253 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:27:32,338 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:28:07,399 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:28:42,464 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:29:17,568 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:29:52,661 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:30:27,705 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:31:02,776 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:31:37,863 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:32:12,943 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:32:48,063 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:33:23,098 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:33:58,181 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:34:33,286 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:35:08,382 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:35:43,500 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:42:32,462 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:43:07,569 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:43:42,632 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:44:17,743 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:44:52,873 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-23 10:45:27,900 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
