======================================================================
SAS AUDIT LOG - 2026-07-17
======================================================================
One row records one SAS action. Passwords and secret values are never written to this file.

TIME     | ACTOR                | ACTION                       | DETAILS
---------+----------------------+------------------------------+------------------------------------------
14:09:41 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
14:09:41 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:10:01 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
14:10:04 | ADMIN                | PI DISCONNECTED              | Pi host: JEFACESERVICE · Result: Manual disconnect
14:10:14 | ADMIN                | PI CONNECTED                 | Requested host: jbleyepoc035 · Pi host: MYPENNBLOAN0457 · API port: 5000 · Oneconnect: Normal connect
14:10:19 | ADMIN                | SETTINGS SAVED               | Server path: \\mypenm0vdspc16\internship\Gary LIm\SAS_finaltest · Pi host: JEFACESERVICE → jbleyepoc035 · Inactivity lock: 05:00 · Disabled while locked: Keyboard · Auto capture: Disabled · Camera rotation: 0°
14:10:19 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:11:12 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
14:11:12 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
14:13:11 | 4433                 | LOGIN FAILED                 | Method: Active Directory · Result: Failed
14:13:25 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
14:13:25 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
14:13:34 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:14:39 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
14:14:46 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:17:40 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:20:08 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
14:20:09 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:20:27 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 65.96% · Pi host: JBLEYEPOC035 · Event Id: 25bf496b-00da-4f35-8566-69858d7b81a9
14:20:43 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:20:51 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:26:50 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
14:26:50 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:27:12 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 73.69% · Pi host: JBLEYEPOC035 · Event Id: 97cedd2c-e303-4318-97ac-24a55bf6f304
14:27:33 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:27:41 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
14:28:12 | ADMIN                | CAMERA ROTATION CHANGED      | Rotation: 90 · Admin: PI · Method: Settings
14:28:14 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:28:20 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:28:21 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:28:22 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
14:28:24 | ADMIN                | CAMERA ROTATION CHANGED      | Rotation: 180 · Admin: PI · Method: Settings
14:28:25 | ADMIN                | CAMERA ROTATION CHANGED      | Rotation: 270 · Admin: PI · Method: Settings
14:28:26 | ADMIN                | CAMERA ROTATION CHANGED      | Rotation: 0 · Admin: PI · Method: Settings
14:29:54 | ADMIN                | FACE DATA EXPORTED TO SERVER | Server path: \\mypenm0vdspc16\internship\Gary LIm\SAS_finaltest · ZIP file: SAS_face_dataset_20260717_142954.zip
